Point in Time[s],Utilization of Active Resource[]
181.87383518211342,1.0
182.87383518211342,0.0
218.46203253005456,1.0
220.46203253005456,0.0
223.29009921423875,1.0
224.29009921423875,0.0
225.8502103060218,1.0
226.8502103060218,0.0
243.11247610369546,1.0
246.11247610369546,0.0
253.59407271412104,1.0
254.59407271412104,0.0
264.67196618665076,1.0
267.67196618665076,0.0
285.53433397880974,1.0
286.53433397880974,0.0
296.5721951868425,1.0
296.60571427769014,1.0
297.5721951868425,1.0
298.5386760959949,1.0
298.5721951868425,0.0
339.84834351656656,1.0
340.84834351656656,0.0
343.3424117985133,1.0
344.3424117985133,0.0
347.29387976325927,1.0
350.29387976325927,0.0
351.16197639356875,1.0
353.16197639356875,0.0
354.6328709997301,1.0
355.6328709997301,0.0
357.0342668558209,1.0
359.0342668558209,0.0
360.57574425804165,1.0
362.57574425804165,0.0
369.7676582882637,1.0
370.7676582882637,0.0
378.9137406799884,1.0
380.9137406799884,0.0
403.400920355719,1.0
406.400920355719,0.0
412.3967365103593,1.0
414.3967365103593,0.0
443.5328787375992,1.0
446.5328787375992,0.0
458.18989048665736,1.0
461.18989048665736,0.0
483.76590276257554,1.0
484.76590276257554,0.0
490.6473734828504,1.0
493.6473734828504,0.0
496.3680651753706,1.0
499.3680651753706,0.0
500.7075935058165,1.0
501.16329543018827,1.0
502.7075935058165,1.0
503.16329543018827,1.0
503.7075935058165,0.0
505.7534140930241,1.0
507.7534140930241,0.0
517.7099304998292,1.0
520.7099304998292,0.0
521.5458176411585,1.0
523.5458176411585,0.0
531.782678520246,1.0
534.1264932835473,1.0
534.782678520246,1.0
535.4388637569447,1.0
537.782678520246,0.0
554.679787870598,1.0
555.679787870598,0.0
562.6361961269106,1.0
563.6361961269106,0.0
588.7811764810675,1.0
590.9589196352007,1.0
591.7811764810675,1.0
592.6034333269344,1.0
594.7811764810675,0.0
